iteration,log_likelihood
1,-9558.601283
2,-4405.495002
3,-4403.280495
4,-4402.672403
5,-4402.358154
6,-4402.162202
7,-4402.025256
8,-4401.922265
9,-4401.840869
10,-4401.774222
11,-4401.718181
12,-4401.670061
13,-4401.628019
14,-4401.590736
15,-4401.557229
16,-4401.526749
17,-4401.498710
18,-4401.472645
19,-4401.448180
20,-4401.425010
21,-4401.402887
22,-4401.381605
23,-4401.360998
24,-4401.340926
25,-4401.321275
26,-4401.301952
27,-4401.282878
28,-4401.263992
29,-4401.245242
30,-4401.226586
31,-4401.207990
32,-4401.189428
33,-4401.170879
34,-4401.152324
35,-4401.133751
36,-4401.115148
37,-4401.096507
38,-4401.077821
39,-4401.059082
40,-4401.040286
41,-4401.021428
42,-4401.002500
43,-4400.983498
44,-4400.964414
45,-4400.945241
46,-4400.925969
47,-4400.906589
48,-4400.887088
49,-4400.867452
50,-4400.847664
51,-4400.827705
52,-4400.807554
53,-4400.787183
54,-4400.766565
55,-4400.745663
56,-4400.724439
57,-4400.702844
58,-4400.680824
59,-4400.658314
60,-4400.635237
61,-4400.611503
62,-4400.587003
63,-4400.561606
64,-4400.535153
65,-4400.507454
66,-4400.478273
67,-4400.447326
68,-4400.414260
69,-4400.378652
70,-4400.339983
71,-4400.297638
72,-4400.250904
73,-4400.198983
74,-4400.141055
75,-4400.076374
76,-4400.004453
77,-4399.925294
78,-4399.839653
79,-4399.749218
80,-4399.656597
81,-4399.565026
82,-4399.477860
83,-4399.397990
84,-4399.327416
85,-4399.267069
86,-4399.216906
87,-4399.176162
88,-4399.143659
89,-4399.118069
90,-4399.098099
91,-4399.082595
92,-4399.070583
93,-4399.061268
94,-4399.054024
95,-4399.048357
96,-4399.043893
97,-4399.040341
98,-4399.037482
99,-4399.035152
100,-4399.033226
